,ID,Date,Block,Primary_Type,Description,Location_Description,Arrest,Year,Latitude,Longitude,dt,Month,Hour,Night,Season
6797,12234318,10/16/2020 03:30:00 PM,056XX S DREXEL AVE,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,RESIDENCE,False,2020,41.792451391,-87.603767478,2020-10-16 15:30:00,10,15,No,Autumn
6798,12241950,10/02/2020 07:00:00 PM,053XX S MARYLAND AVE,CRIMINAL SEXUAL ASSAULT,NON-AGGRAVATED,APARTMENT,False,2020,41.798140626,-87.60511857,2020-10-02 19:00:00,10,19,Yes,Autumn
6799,12234391,12/01/2020 02:00:00 PM,054XX S HYDE PARK BLVD,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,APARTMENT,False,2020,41.795987556,-87.583968081,2020-12-01 14:00:00,12,14,No,Winter
6800,12235966,12/01/2020 04:14:00 PM,054XX S UNIVERSITY AVE,OTHER OFFENSE,TELEPHONE THREAT,APARTMENT,False,2020,41.797031285,-87.598122845,2020-12-01 16:14:00,12,16,No,Winter
6801,12235940,12/03/2020 09:29:00 AM,010XX E 53RD ST,THEFT,$500 AND UNDER,CONVENIENCE STORE,False,2020,41.799409208,-87.600915952,2020-12-03 09:29:00,12,9,No,Winter
6802,12240299,12/02/2020 03:00:00 PM,052XX S WOODLAWN AVE,THEFT,OVER $500,RESIDENCE,False,2020,41.800361712,-87.596661776,2020-12-02 15:00:00,12,15,No,Winter
6803,12232661,11/29/2020 10:40:00 AM,010XX E 53RD ST,THEFT,RETAIL THEFT,SMALL RETAIL STORE,False,2020,41.799409208,-87.600915952,2020-11-29 10:40:00,11,10,No,Autumn
6804,12232845,11/29/2020 10:55:00 AM,055XX S DORCHESTER AVE,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,False,2020,41.793981982,-87.591655814,2020-11-29 10:55:00,11,10,No,Autumn
6805,12232298,07/25/2020 10:10:00 AM,053XX S SHORE DR,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,APARTMENT,False,2020,41.799275367,-87.582312425,2020-07-25 10:10:00,7,10,No,Summer
6806,12241294,12/08/2020 12:01:00 PM,055XX S EVERETT AVE,THEFT,$500 AND UNDER,APARTMENT,False,2020,41.794496204,-87.582522243,2020-12-08 12:01:00,12,12,No,Winter
6807,12234756,12/01/2020 08:54:00 PM,012XX E 53RD ST,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,PARKING LOT / GARAGE (NON RESIDENTIAL),True,2020,41.799467397,-87.595428744,2020-12-01 20:54:00,12,20,Yes,Winter
6808,12234782,11/29/2020 12:00:00 PM,008XX E DREXEL SQUARE DR,THEFT,$500 AND UNDER,RESIDENCE,False,2020,41.801399711,-87.605375077,2020-11-29 12:00:00,11,12,No,Autumn
6809,12232309,11/25/2020 11:10:00 AM,054XX S CORNELL AVE,THEFT,OVER $500,RESIDENCE,False,2020,41.797383158,-87.585462773,2020-11-25 11:10:00,11,11,No,Autumn
6810,12236301,11/21/2020 09:20:00 AM,017XX E 56TH ST,THEFT,OVER $500,APARTMENT,False,2020,41.793424442,-87.583554214,2020-11-21 09:20:00,11,9,No,Autumn
6811,12231309,11/27/2020 06:30:00 AM,057XX S MARYLAND AVE,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,2020,41.790894592,-87.604940233,2020-11-27 06:30:00,11,6,No,Autumn
6812,12238434,12/05/2020 06:00:00 PM,053XX S HYDE PARK BLVD,THEFT,$500 AND UNDER,STREET,False,2020,41.799204348,-87.584044296,2020-12-05 18:00:00,12,18,Yes,Winter
6813,10824820,01/23/2017 05:05:00 AM,017XX E 54TH ST,THEFT,$500 AND UNDER,STREET,False,2017,41.798151279,-87.583315748,2017-01-23 05:05:00,1,5,No,Winter
6814,10852752,02/17/2017 10:30:00 AM,056XX S STONY ISLAND AVE,THEFT,OVER $500,STREET,True,2017,41.7927367,-87.586668256,2017-02-17 10:30:00,2,10,No,Winter
6815,10851001,02/15/2017 05:45:00 AM,008XX E 60TH ST,THEFT,OVER $500,STREET,False,2017,41.785881421,-87.605473652,2017-02-15 05:45:00,2,5,No,Winter
6816,10831597,01/28/2017 02:09:00 PM,016XX E 53RD ST,BATTERY,SIMPLE,SIDEWALK,True,2017,41.79958302,-87.586145019,2017-01-28 14:09:00,1,14,No,Winter
6817,10895752,03/29/2017 10:00:00 AM,008XX E 53RD ST,BURGLARY,UNLAWFUL ENTRY,RESIDENCE,False,2017,41.798637561,-87.604720529,2017-03-29 10:00:00,3,10,No,Spring
6818,10840731,02/06/2017 04:35:00 PM,053XX S BLACKSTONE AVE,ROBBERY,STRONGARM - NO WEAPON,SIDEWALK,False,2017,41.798743555,-87.590419997,2017-02-06 16:35:00,2,16,No,Winter
6819,10883840,03/20/2017 03:40:00 AM,012XX E 53RD ST,THEFT,RETAIL THEFT,DEPARTMENT STORE,False,2017,41.799462885,-87.596008257,2017-03-20 03:40:00,3,3,Yes,Spring
6820,10817879,01/12/2017 11:40:00 AM,055XX S BLACKSTONE AVE,THEFT,FROM BUILDING,APARTMENT,False,2017,41.794428897,-87.590319472,2017-01-12 11:40:00,1,11,No,Winter
6821,10819165,01/17/2017 04:45:00 PM,052XX S LAKE PARK AVE,THEFT,FROM BUILDING,OTHER,False,2017,41.800483161,-87.587414531,2017-01-17 16:45:00,1,16,No,Winter
6822,10911794,04/09/2017 01:27:00 PM,011XX E 55TH ST,THEFT,FROM BUILDING,OTHER,False,2017,41.795038027,-87.599267797,2017-04-09 13:27:00,4,13,No,Spring
6823,10970913,06/06/2017 10:45:00 AM,016XX E 56TH ST,THEFT,OVER $500,STREET,False,2017,41.793395687,-87.585879509,2017-06-06 10:45:00,6,10,No,Summer
6824,10967223,06/02/2017 06:30:00 PM,052XX S BLACKSTONE AVE,ASSAULT,SIMPLE,STREET,False,2017,41.80037117,-87.590459878,2017-06-02 18:30:00,6,18,Yes,Summer
6825,11018994,07/15/2017 01:00:00 AM,054XX S SHORE DR,BATTERY,SIMPLE,STREET,False,2017,41.79631327,-87.580898427,2017-07-15 01:00:00,7,1,Yes,Summer
6826,10943458,05/12/2017 06:00:00 PM,053XX S ELLIS AVE,THEFT,$500 AND UNDER,STREET,False,2017,41.798706293,-87.601287032,2017-05-12 18:00:00,5,18,Yes,Spring
6827,10963183,05/25/2017 11:46:00 AM,052XX S HARPER AVE,BATTERY,SIMPLE,STREET,False,2017,41.800938808,-87.589121997,2017-05-25 11:46:00,5,11,No,Spring
6828,11059230,08/18/2017 03:00:00 PM,015XX E 53RD ST,THEFT,FROM BUILDING,SMALL RETAIL STORE,False,2017,41.799553224,-87.587894753,2017-08-18 15:00:00,8,15,No,Summer
6829,11082281,09/04/2017 09:45:00 PM,016XX E 56TH ST,THEFT,$500 AND UNDER,STREET,False,2017,41.79340561,-87.5848746,2017-09-04 21:45:00,9,21,Yes,Autumn
6830,11154522,11/20/2017 10:15:00 AM,015XX E 53RD ST,BATTERY,SIMPLE,SIDEWALK,True,2017,41.799549083,-87.588525608,2017-11-20 10:15:00,11,10,No,Autumn
6831,11107071,10/03/2017 02:45:00 AM,051XX S LAKE PARK AVE,ROBBERY,AGGRAVATED,SIDEWALK,False,2017,41.80208796,-87.587744343,2017-10-03 02:45:00,10,2,Yes,Autumn
6832,11217901,01/29/2018 03:15:00 PM,014XX E 53RD ST,THEFT,OVER $500,BANK,False,2018,41.799531452,-87.590040481,2018-01-29 15:15:00,1,15,No,Winter
6833,11212089,01/23/2018 04:46:00 PM,051XX S DORCHESTER AVE,ASSAULT,SIMPLE,SIDEWALK,False,2018,41.801927878,-87.591842926,2018-01-23 16:46:00,1,16,No,Winter
6834,11214351,01/26/2018 07:30:00 AM,016XX E 56TH ST,THEFT,$500 AND UNDER,STREET,False,2018,41.79340561,-87.5848746,2018-01-26 07:30:00,1,7,No,Winter
6835,11265329,03/18/2018 04:15:00 AM,055XX S DREXEL AVE,THEFT,PURSE-SNATCHING,SIDEWALK,False,2018,41.794389181,-87.603818846,2018-03-18 04:15:00,3,4,Yes,Spring
6836,11256176,03/14/2018 06:09:00 PM,013XX E 53RD ST,NARCOTICS,FOUND SUSPECT NARCOTICS,DEPARTMENT STORE,True,2018,41.799490663,-87.593499384,2018-03-14 18:09:00,3,18,Yes,Spring
6837,11207601,01/16/2018 09:00:00 PM,055XX S BLACKSTONE AVE,THEFT,OVER $500,APARTMENT,False,2018,41.794428897,-87.590319472,2018-01-16 21:00:00,1,21,Yes,Winter
6838,11347773,06/14/2018 03:00:00 PM,051XX S LAKE PARK AVE,THEFT,RETAIL THEFT,DEPARTMENT STORE,True,2018,41.802101704,-87.587747851,2018-06-14 15:00:00,6,15,No,Summer
6839,11407605,08/07/2018 09:00:00 PM,052XX S Ingleside Ave,THEFT,$500 AND UNDER,APARTMENT,False,2018,41.800159671,-87.602840188,2018-08-07 21:00:00,8,21,Yes,Summer
6840,11340497,06/07/2018 11:47:00 AM,058XX S ELLIS AVE,THEFT,OVER $500,STREET,False,2018,41.789164206,-87.601252597,2018-06-07 11:47:00,6,11,No,Summer
6841,11363658,06/29/2018 07:15:00 AM,055XX S LAKE SHORE DR SB,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,2018,41.794348335,-87.579637896,2018-06-29 07:15:00,6,7,No,Summer
6842,11372717,07/05/2018 11:30:00 PM,051XX S KENWOOD AVE,BURGLARY,UNLAWFUL ENTRY,RESIDENCE-GARAGE,False,2018,41.801894401,-87.593460731,2018-07-05 23:30:00,7,23,Yes,Summer
6843,11535513,12/14/2018 05:08:00 PM,013XX E 55TH ST,ROBBERY,AGGRAVATED,BANK,False,2018,41.79511919,-87.592673194,2018-12-14 17:08:00,12,17,Yes,Winter
6844,11536210,10/15/2018 12:00:00 PM,008XX E 54TH ST,THEFT,FROM BUILDING,OTHER,False,2018,41.796804813,-87.605654453,2018-10-15 12:00:00,10,12,No,Autumn
6845,11551293,12/30/2018 12:00:00 AM,013XX E 53RD ST,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,SMALL RETAIL STORE,False,2018,41.7994855,-87.593976216,2018-12-30 00:00:00,12,0,Yes,Winter
6846,11572509,01/20/2019 04:57:00 PM,051XX S INGLESIDE AVE,ASSAULT,SIMPLE,APARTMENT,False,2019,41.801729612,-87.602873703,2019-01-20 16:57:00,1,16,No,Winter
6847,11650473,04/09/2019 10:00:00 PM,055XX S UNIVERSITY AVE,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,RESIDENCE,False,2019,41.794605542,-87.598154236,2019-04-09 22:00:00,4,22,Yes,Spring
6848,11658360,03/18/2019 02:05:00 PM,052XX S KIMBARK AVE,THEFT,FROM BUILDING,APARTMENT,False,2019,41.800614808,-87.595048826,2019-03-18 14:05:00,3,14,No,Spring
6849,11611484,03/01/2019 12:00:00 AM,051XX S INGLESIDE AVE,CRIMINAL DAMAGE,CRIMINAL DEFACEMENT,APARTMENT,False,2019,41.801790005,-87.602876685,2019-03-01 00:00:00,3,0,Yes,Spring
6850,11667426,03/24/2019 12:01:00 AM,054XX S GREENWOOD AVE,OBSCENITY,OBSCENITY,OTHER,False,2019,41.797302054,-87.599696713,2019-03-24 00:01:00,3,0,Yes,Spring
6851,11697887,05/24/2019 02:14:00 AM,054XX S RIDGEWOOD CT,BATTERY,AGGRAVATED DOMESTIC BATTERY: OTHER DANG WEAPON,RESIDENCE,True,2019,41.796883229,-87.592590538,2019-05-24 02:14:00,5,2,Yes,Spring
6852,11566772,01/13/2019 04:00:00 PM,052XX S DREXEL AVE,ASSAULT,SIMPLE,RESIDENCE,False,2019,41.799683564,-87.603923837,2019-01-13 16:00:00,1,16,No,Winter
6853,11657678,04/16/2019 08:00:00 PM,055XX S DORCHESTER AVE,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,2019,41.793981982,-87.591655814,2019-04-16 20:00:00,4,20,Yes,Spring
6854,11668637,04/27/2019 12:10:00 PM,054XX S BLACKSTONE AVE,BATTERY,SIMPLE,APARTMENT,False,2019,41.796341968,-87.590367054,2019-04-27 12:10:00,4,12,No,Spring
6855,11689870,05/13/2019 06:00:00 PM,014XX E 54TH ST,THEFT,$500 AND UNDER,STREET,False,2019,41.798053927,-87.591143104,2019-05-13 18:00:00,5,18,Yes,Spring
6856,11684272,05/11/2019 11:40:00 PM,013XX E 52ND ST,ROBBERY,STRONGARM - NO WEAPON,SIDEWALK,False,2019,41.80096504,-87.592756247,2019-05-11 23:40:00,5,23,Yes,Spring
6857,11689239,05/13/2019 09:00:00 PM,015XX E 55TH ST,BATTERY,SIMPLE,PARKING LOT/GARAGE(NON.RESID.),False,2019,41.795190552,-87.588007653,2019-05-13 21:00:00,5,21,Yes,Spring
6858,11686686,05/12/2019 08:00:00 AM,052XX S GREENWOOD AVE,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,False,2019,41.800389775,-87.599760517,2019-05-12 08:00:00,5,8,No,Spring
6859,11694682,05/14/2019 03:30:00 PM,051XX S GREENWOOD AVE,OFFENSE INVOLVING CHILDREN,CHILD PORNOGRAPHY,RESIDENCE,False,2019,41.801795048,-87.599792167,2019-05-14 15:30:00,5,15,No,Spring
6860,11700869,02/11/2019 12:00:00 AM,054XX S RIDGEWOOD CT,THEFT,FROM BUILDING,RESIDENCE,False,2019,41.796592286,-87.592582886,2019-02-11 00:00:00,2,0,Yes,Winter
6861,11700518,05/18/2019 09:00:00 AM,053XX S CORNELL AVE,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,2019,41.799046471,-87.58550578,2019-05-18 09:00:00,5,9,No,Spring
6862,11694575,05/20/2019 04:00:00 PM,054XX S RIDGEWOOD CT,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,2019,41.797124755,-87.592595091,2019-05-20 16:00:00,5,16,No,Spring
6863,11683857,05/11/2019 03:20:00 PM,015XX E 55TH ST,BATTERY,SIMPLE,RESTAURANT,True,2019,41.795191789,-87.588198334,2019-05-11 15:20:00,5,15,No,Spring
6864,11690197,05/01/2019 12:00:00 PM,056XX S MARYLAND AVE,NARCOTICS,ALTER/FORGE PRESCRIPTION,HOSPITAL BUILDING/GROUNDS,True,2019,41.792195498,-87.604958508,2019-05-01 12:00:00,5,12,No,Spring
6865,11690130,05/10/2019 02:30:00 PM,015XX E 53RD ST,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,SIDEWALK,False,2019,41.799551527,-87.588056142,2019-05-10 14:30:00,5,14,No,Spring
6866,10898329,04/01/2017 06:00:00 PM,013XX E 52ND ST,THEFT,OVER $500,STREET,False,2017,41.800952636,-87.593812648,2017-04-01 18:00:00,4,18,Yes,Spring
6867,11190261,12/27/2017 10:00:00 PM,016XX E 56TH ST,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,2017,41.79340561,-87.5848746,2017-12-27 22:00:00,12,22,Yes,Winter
6868,11495660,11/02/2018 01:20:00 AM,056XX S HARPER AVE,THEFT,OVER $500,STREET,False,2018,41.792894408,-87.588980367,2018-11-02 01:20:00,11,1,Yes,Autumn
6869,11586903,02/05/2019 06:30:00 PM,014XX E 52ND ST,BATTERY,SIMPLE,SIDEWALK,False,2019,41.800999199,-87.589972173,2019-02-05 18:30:00,2,18,Yes,Winter
6870,11670617,04/29/2019 03:25:00 PM,013XX E 53RD ST,ASSAULT,SIMPLE,OTHER,False,2019,41.799505359,-87.592373299,2019-04-29 15:25:00,4,15,No,Spring
6871,11687159,04/30/2019 05:00:00 PM,008XX E 53RD ST,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,OTHER,False,2019,41.798637561,-87.604720529,2019-04-30 17:00:00,4,17,Yes,Spring
6872,11686595,02/13/2019 06:05:00 PM,015XX E 53RD ST,THEFT,OVER $500,ATM (AUTOMATIC TELLER MACHINE),False,2019,41.799551527,-87.588056142,2019-02-13 18:05:00,2,18,Yes,Winter
6873,11024192,07/18/2017 10:55:00 PM,014XX E 55TH ST,THEFT,OVER $500,SIDEWALK,False,2017,41.795511377,-87.59135947,2017-07-18 22:55:00,7,22,Yes,Summer
6874,11131484,10/27/2017 11:30:00 AM,053XX S SHORE DR,THEFT,OVER $500,STREET,False,2017,41.799107955,-87.582310712,2017-10-27 11:30:00,10,11,No,Autumn
6875,11377837,07/07/2018 03:30:00 PM,052XX S HARPER AVE,BATTERY,SIMPLE,STREET,False,2018,41.800620449,-87.589118346,2018-07-07 15:30:00,7,15,No,Summer
6876,11529329,12/08/2018 03:30:00 PM,016XX E 53RD ST,THEFT,FROM BUILDING,OTHER,False,2018,41.799596521,-87.584846573,2018-12-08 15:30:00,12,15,No,Winter
6877,12300746,02/24/2021 02:45:00 AM,011XX E HYDE PARK BLVD,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,False,2021,41.802355873,-87.597801577,2021-02-24 02:45:00,2,2,Yes,Winter
6878,12300810,02/25/2021 12:10:00 AM,053XX S BLACKSTONE AVE,ROBBERY,STRONG ARM - NO WEAPON,SIDEWALK,False,2021,41.799160725,-87.590426181,2021-02-25 00:10:00,2,0,Yes,Winter
6879,12301145,02/25/2021 02:00:00 PM,057XX S STONY ISLAND AVE,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,STREET,True,2021,41.790357564,-87.5866922,2021-02-25 14:00:00,2,14,No,Winter
6880,12302579,02/26/2021 01:15:00 PM,055XX S LAKE PARK AVE,ASSAULT,SIMPLE,CTA BUS,False,2021,41.794727026,-87.587624299,2021-02-26 13:15:00,2,13,No,Winter
6881,12306276,02/25/2021 12:00:00 PM,052XX S DREXEL AVE,OTHER OFFENSE,OTHER CRIME AGAINST PERSON,APARTMENT,False,2021,41.799908625,-87.60392862,2021-02-25 12:00:00,2,12,No,Winter
6882,12307559,02/18/2021 02:30:00 PM,051XX S LAKE PARK AVE,ASSAULT,SIMPLE,GROCERY FOOD STORE,False,2021,41.801983471,-87.587712546,2021-02-18 14:30:00,2,14,No,Winter
6883,12301638,02/26/2021 01:30:00 AM,015XX E 55TH ST,THEFT,RETAIL THEFT,SMALL RETAIL STORE,False,2021,41.795190552,-87.588007653,2021-02-26 01:30:00,2,1,Yes,Winter
6884,12301662,02/26/2021 12:46:00 AM,054XX S CORNELL AVE,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,2021,41.797083982,-87.58545525,2021-02-26 00:46:00,2,0,Yes,Winter
6885,12303893,02/26/2021 12:24:00 PM,054XX S INGLESIDE AVE,THEFT,FROM BUILDING,RESIDENCE - PORCH / HALLWAY,False,2021,41.797555002,-87.602785419,2021-02-26 12:24:00,2,12,No,Winter
6886,12307095,02/21/2021 12:00:00 AM,054XX S BLACKSTONE AVE,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,APARTMENT,False,2021,41.796141603,-87.590362033,2021-02-21 00:00:00,2,0,Yes,Winter
6887,12303813,02/27/2021 03:50:00 PM,014XX E 53RD ST,THEFT,OVER $500,RESTAURANT,False,2021,41.799533674,-87.589959771,2021-02-27 15:50:00,2,15,No,Winter
6888,12305415,03/01/2021 05:25:00 PM,055XX S CORNELL AVE,DECEPTIVE PRACTICE,COUNTERFEITING DOCUMENT,RESTAURANT,False,2021,41.794759204,-87.585397931,2021-03-01 17:25:00,3,17,Yes,Spring
6889,12303908,02/28/2021 01:00:00 PM,054XX S EVERETT AVE,THEFT,OVER $500,APARTMENT,False,2021,41.796030499,-87.582559345,2021-02-28 13:00:00,2,13,No,Winter
6890,12305250,03/02/2021 11:40:00 AM,013XX E 57TH ST,ROBBERY,STRONG ARM - NO WEAPON,SIDEWALK,False,2021,41.791489084,-87.592337282,2021-03-02 11:40:00,3,11,No,Spring
6891,12305142,03/02/2021 11:20:00 AM,015XX E 53RD ST,ASSAULT,SIMPLE,STREET,False,2021,41.799553224,-87.587894753,2021-03-02 11:20:00,3,11,No,Spring
6892,12306008,03/02/2021 12:00:00 AM,017XX E 56TH ST,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,APARTMENT,False,2021,41.793424442,-87.583554214,2021-03-02 00:00:00,3,0,Yes,Spring
6893,12305433,03/02/2021 02:00:00 AM,051XX S BLACKSTONE AVE,OTHER OFFENSE,HARASSMENT BY TELEPHONE,APARTMENT,False,2021,41.80182586,-87.590494422,2021-03-02 02:00:00,3,2,Yes,Spring
6894,12307888,02/20/2021 09:00:00 AM,057XX S KENWOOD AVE,THEFT,$500 AND UNDER,RESIDENCE,False,2021,41.790819572,-87.593203067,2021-02-20 09:00:00,2,9,No,Winter
6895,12306048,03/02/2021 11:00:00 PM,055XX S EVERETT AVE,CRIMINAL SEXUAL ASSAULT,NON-AGGRAVATED,APARTMENT,False,2021,41.794424835,-87.582519409,2021-03-02 23:00:00,3,23,Yes,Spring
